<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
YNDX,1,20190114,122300,1980,1980.5,1980,1980.5,22
YNDX,1,20190114,122400,1981.5,1982,1981,1981,210
YNDX,1,20190114,122500,1982,1982,1981,1981,6
YNDX,1,20190114,122700,1981,1982,1981,1981,37
YNDX,1,20190114,122800,1981,1981.5,1980,1980,354
YNDX,1,20190114,122900,1980,1980,1979,1980,495
YNDX,1,20190114,123000,1980,1980,1978.5,1980,32
YNDX,1,20190114,123100,1980,1980,1980,1980,46
YNDX,1,20190114,123200,1980,1980,1979.5,1979.5,6
YNDX,1,20190114,123300,1979.5,1980,1978.5,1978.5,175
YNDX,1,20190114,123400,1979.5,1979.5,1979.5,1979.5,10
YNDX,1,20190114,123500,1979.5,1979.5,1979.5,1979.5,3
YNDX,1,20190114,123600,1979.5,1979.5,1979.5,1979.5,2
YNDX,1,20190114,123700,1980,1980,1979.5,1979.5,51
YNDX,1,20190114,123900,1980,1980,1979.5,1979.5,84
YNDX,1,20190114,124000,1979,1979.5,1979,1979.5,102
YNDX,1,20190114,124300,1979,1979,1978,1978,36
YNDX,1,20190114,124400,1978,1978,1978,1978,195
YNDX,1,20190114,124500,1978,1979,1978,1978.5,114
YNDX,1,20190114,124600,1978.5,1978.5,1978,1978.5,13
YNDX,1,20190114,124700,1978.5,1979,1978,1978,283
YNDX,1,20190114,124800,1978,1979,1978,1978,129
YNDX,1,20190114,124900,1979,1979,1979,1979,5
YNDX,1,20190114,125000,1979,1979,1979,1979,62
YNDX,1,20190114,125100,1979.5,1979.5,1979,1979,18
YNDX,1,20190114,125200,1978.5,1978.5,1978.5,1978.5,4
YNDX,1,20190114,125300,1978,1978,1976,1976,496
YNDX,1,20190114,125500,1976.5,1978,1976.5,1978,14
YNDX,1,20190114,125600,1976.5,1976.5,1976.5,1976.5,129
YNDX,1,20190114,125900,1976.5,1976.5,1976.5,1976.5,527
YNDX,1,20190114,130000,1976,1976.5,1976,1976.5,605
YNDX,1,20190114,130100,1977,1978,1976.5,1978,307
YNDX,1,20190114,130200,1978,1978,1977,1977,588
YNDX,1,20190114,130300,1977,1977,1977,1977,20
YNDX,1,20190114,130400,1977,1977,1977,1977,58
YNDX,1,20190114,130500,1977,1977,1976.5,1976.5,15
YNDX,1,20190114,130700,1977,1977,1976.5,1976.5,135
YNDX,1,20190114,130800,1976.5,1976.5,1976.5,1976.5,22
YNDX,1,20190114,130900,1976,1976,1976,1976,1
YNDX,1,20190114,131000,1976,1976,1976,1976,1
YNDX,1,20190114,131100,1976,1976,1976,1976,78
YNDX,1,20190114,131300,1975.5,1975.5,1971.5,1971.5,845
YNDX,1,20190114,131400,1971.5,1973,1971.5,1973,97
YNDX,1,20190114,131500,1971.5,1971.5,1970.5,1970.5,379
YNDX,1,20190114,131600,1970.5,1971,1970.5,1971,43
YNDX,1,20190114,131700,1970.5,1970.5,1970.5,1970.5,440
YNDX,1,20190114,131800,1970.5,1970.5,1964.5,1967,1717
YNDX,1,20190114,131900,1967,1967,1964.5,1967,670
YNDX,1,20190114,132000,1967,1967,1965,1965,43
YNDX,1,20190114,132100,1965,1968,1965,1968,224
YNDX,1,20190114,132200,1968.5,1969.5,1966.5,1966.5,77
YNDX,1,20190114,132300,1966.5,1969.5,1966.5,1969.5,85
YNDX,1,20190114,132400,1969.5,1973,1968,1972.5,598
YNDX,1,20190114,132500,1972,1972,1970.5,1972,62
YNDX,1,20190114,132600,1972,1972,1972,1972,325
YNDX,1,20190114,132700,1972.5,1973,1971.5,1973,107
YNDX,1,20190114,132800,1973,1974,1973,1974,61
YNDX,1,20190114,132900,1973.5,1975,1973.5,1973.5,30
YNDX,1,20190114,133100,1974,1974,1974,1974,2
YNDX,1,20190114,133200,1974,1975,1974,1975,17
YNDX,1,20190114,133300,1975,1975,1975,1975,29
YNDX,1,20190114,133400,1975,1975,1975,1975,40
YNDX,1,20190114,133500,1975,1975,1975,1975,13
YNDX,1,20190114,133600,1975,1975,1974,1974,60
YNDX,1,20190114,133700,1974,1976,1974,1976,38
YNDX,1,20190114,133800,1976,1976,1976,1976,1
YNDX,1,20190114,133900,1976,1977,1976,1977,54
YNDX,1,20190114,134000,1976.5,1977,1976.5,1977,451
YNDX,1,20190114,134100,1976.5,1977,1976.5,1977,2
YNDX,1,20190114,134200,1976.5,1976.5,1976.5,1976.5,66
YNDX,1,20190114,134400,1977,1977,1977,1977,7
YNDX,1,20190114,134500,1976.5,1977,1976.5,1977,5
YNDX,1,20190114,134600,1976.5,1976.5,1976.5,1976.5,1
YNDX,1,20190114,134700,1976.5,1976.5,1976.5,1976.5,3
YNDX,1,20190114,134800,1977,1977,1977,1977,1
YNDX,1,20190114,134900,1977,1977,1977,1977,1004
YNDX,1,20190114,135000,1977,1977,1977,1977,35
YNDX,1,20190114,135100,1976.5,1977,1976,1977,524
YNDX,1,20190114,135300,1977,1977,1976,1976,102
YNDX,1,20190114,135400,1977,1977,1977,1977,1
YNDX,1,20190114,135500,1976,1976,1976,1976,3
YNDX,1,20190114,135700,1976,1976,1975.5,1975.5,52
YNDX,1,20190114,135800,1975.5,1975.5,1975,1975,10
YNDX,1,20190114,140000,1975.5,1976.5,1974.5,1976.5,48
YNDX,1,20190114,140200,1976.5,1976.5,1976.5,1976.5,3
YNDX,1,20190114,140300,1975.5,1976.5,1975.5,1976.5,21
YNDX,1,20190114,140500,1975,1975,1975,1975,21
YNDX,1,20190114,140600,1975,1975,1975,1975,5
YNDX,1,20190114,140700,1975,1977,1975,1977,544
YNDX,1,20190114,140900,1977,1977,1976,1977,3
YNDX,1,20190114,141000,1977,1977,1976,1976,51
YNDX,1,20190114,141100,1977,1977,1977,1977,230
YNDX,1,20190114,141200,1977,1977,1977,1977,5
YNDX,1,20190114,141300,1975.5,1975.5,1975,1975,248
YNDX,1,20190114,141500,1977,1977,1977,1977,1
YNDX,1,20190114,141700,1977,1977,1977,1977,2
YNDX,1,20190114,141800,1977,1977,1977,1977,13
YNDX,1,20190114,142000,1975.5,1977,1975.5,1977,46
YNDX,1,20190114,142100,1977,1977,1975,1975,487
YNDX,1,20190114,142200,1975,1976,1975,1976,547
YNDX,1,20190114,142300,1975,1975,1975,1975,1
YNDX,1,20190114,142400,1975,1975,1975,1975,20
YNDX,1,20190114,142500,1975,1975,1975,1975,23
YNDX,1,20190114,142600,1975,1975,1972,1972,113
YNDX,1,20190114,142700,1973,1973,1972,1972,14
YNDX,1,20190114,142800,1973,1973,1973,1973,1
YNDX,1,20190114,143000,1973,1973,1972,1972,31
YNDX,1,20190114,143100,1973,1973,1972,1972.5,501
YNDX,1,20190114,143200,1972,1972,1971,1971,27
YNDX,1,20190114,143300,1972.5,1972.5,1972.5,1972.5,4
YNDX,1,20190114,143500,1972.5,1972.5,1972.5,1972.5,10
YNDX,1,20190114,143600,1971,1971,1971,1971,4
YNDX,1,20190114,143700,1972,1972.5,1972,1972.5,10
YNDX,1,20190114,143800,1972.5,1972.5,1972.5,1972.5,30
YNDX,1,20190114,143900,1972.5,1973,1972.5,1973,190
YNDX,1,20190114,144000,1973,1973,1971.5,1972,23
YNDX,1,20190114,144100,1971.5,1971.5,1971,1971,21
YNDX,1,20190114,144300,1971.5,1971.5,1971,1971.5,19
YNDX,1,20190114,144500,1971.5,1971.5,1971,1971,9
YNDX,1,20190114,144600,1971.5,1971.5,1971.5,1971.5,1
YNDX,1,20190114,144700,1971.5,1973,1971.5,1973,26
YNDX,1,20190114,144800,1973,1973,1973,1973,1
YNDX,1,20190114,144900,1972,1972,1972,1972,40
YNDX,1,20190114,145000,1971.5,1973,1971.5,1973,15
YNDX,1,20190114,145100,1971.5,1973,1971,1972.5,31
YNDX,1,20190114,145200,1971,1972.5,1971,1971,277
YNDX,1,20190114,145300,1971,1971,1971,1971,5
YNDX,1,20190114,145400,1972,1972,1971,1972,62
YNDX,1,20190114,145500,1972,1972.5,1972,1972.5,50
YNDX,1,20190114,145700,1973,1973,1973,1973,2
YNDX,1,20190114,145800,1972,1972,1968,1969,2069
YNDX,1,20190114,145900,1968,1969.5,1968,1969.5,27
YNDX,1,20190114,150000,1968,1969.5,1966.5,1968.5,1281
YNDX,1,20190114,150100,1967.5,1967.5,1967.5,1967.5,10
YNDX,1,20190114,150200,1967.5,1967.5,1966.5,1966.5,478
YNDX,1,20190114,150300,1968,1968,1966.5,1966.5,4
YNDX,1,20190114,150400,1968.5,1968.5,1967,1967,166
YNDX,1,20190114,150500,1967,1969.5,1967,1969,223
YNDX,1,20190114,150600,1969.5,1969.5,1968,1969.5,9
YNDX,1,20190114,150700,1970,1970,1970,1970,17
YNDX,1,20190114,150800,1968.5,1968.5,1968.5,1968.5,2
YNDX,1,20190114,150900,1968.5,1969,1968.5,1969,20
YNDX,1,20190114,151000,1970.5,1970.5,1969,1969,11
YNDX,1,20190114,151100,1969,1969,1969,1969,1
YNDX,1,20190114,151200,1970.5,1970.5,1970.5,1970.5,26
YNDX,1,20190114,151300,1969,1970.5,1969,1970.5,100
YNDX,1,20190114,151400,1970.5,1971.5,1970.5,1971.5,13
YNDX,1,20190114,151600,1972,1972,1971.5,1971.5,21
YNDX,1,20190114,151700,1970.5,1970.5,1970.5,1970.5,2
YNDX,1,20190114,151800,1971.5,1971.5,1970.5,1971.5,41
