<open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1716353520000,0.03201295,0.03203170,0.03196739,0.03200415,0,1716353579999,0,60,0,0,0
1716353580000,0.03200415,0.03211817,0.03199758,0.03211791,0,1716353639999,0,60,0,0,0
1716353640000,0.03211628,0.03217219,0.03209135,0.03215348,0,1716353699999,0,60,0,0,0
1716353700000,0.03214941,0.03222939,0.03213638,0.03220439,0,1716353759999,0,60,0,0,0
1716353760000,0.03219125,0.03226697,0.03216487,0.03224381,0,1716353819999,0,60,0,0,0
1716353820000,0.03223267,0.03234209,0.03222435,0.03234209,0,1716353879999,0,60,0,0,0
1716353880000,0.03233929,0.03236084,0.03231237,0.03233609,0,1716353939999,0,60,0,0,0
1716353940000,0.03233609,0.03234031,0.03221343,0.03221974,0,1716353999999,0,60,0,0,0
1716354000000,0.03222481,0.03225960,0.03218705,0.03221762,0,1716354059999,0,60,0,0,0
1716354060000,0.03222545,0.03222782,0.03209794,0.03209794,0,1716354119999,0,60,0,0,0
1716354120000,0.03209880,0.03218661,0.03209880,0.03217927,0,1716354179999,0,60,0,0,0
1716354180000,0.03217184,0.03217184,0.03206068,0.03206068,0,1716354239999,0,60,0,0,0
1716354240000,0.03206068,0.03206068,0.03193608,0.03195200,0,1716354299999,0,60,0,0,0
1716354300000,0.03195772,0.03197242,0.03190124,0.03197242,0,1716354359999,0,60,0,0,0
1716354360000,0.03197234,0.03199461,0.03191498,0.03192137,0,1716354419999,0,60,0,0,0
1716354420000,0.03191565,0.03191565,0.03177193,0.03177732,0,1716354479999,0,60,0,0,0
1716354480000,0.03175076,0.03175076,0.03153686,0.03157964,0,1716354539999,0,60,0,0,0
1716354540000,0.03157878,0.03171422,0.03156547,0.03168572,0,1716354599999,0,60,0,0,0
1716354600000,0.03170029,0.03170772,0.03154952,0.03156528,0,1716354659999,0,60,0,0,0
1716354660000,0.03156843,0.03163945,0.03154727,0.03158168,0,1716354719999,0,60,0,0,0
1716354720000,0.03158595,0.03163782,0.03156539,0.03161177,0,1716354779999,0,60,0,0,0
1716354780000,0.03161834,0.03163428,0.03158785,0.03163193,0,1716354839999,0,60,0,0,0
1716354840000,0.03162511,0.03165426,0.03160872,0.03162644,0,1716354899999,0,60,0,0,0
1716354900000,0.03162644,0.03176679,0.03161077,0.03176339,0,1716354959999,0,60,0,0,0
1716354960000,0.03176339,0.03176874,0.03170649,0.03171365,0,1716355019999,0,60,0,0,0
1716355020000,0.03171474,0.03172052,0.03163230,0.03163350,0,1716355079999,0,60,0,0,0
1716355080000,0.03163350,0.03164050,0.03152353,0.03153136,0,1716355139999,0,60,0,0,0
1716355140000,0.03153051,0.03153658,0.03148495,0.03151693,0,1716355199999,0,60,0,0,0
1716355200000,0.03151693,0.03157110,0.03150729,0.03156027,0,1716355259999,0,60,0,0,0
1716355260000,0.03156914,0.03166212,0.03156533,0.03165359,0,1716355319999,0,60,0,0,0
1716355320000,0.03166161,0.03176972,0.03166161,0.03176043,0,1716355379999,0,60,0,0,0
1716355380000,0.03176206,0.03177833,0.03171188,0.03173550,0,1716355439999,0,60,0,0,0
1716355440000,0.03173550,0.03177403,0.03172610,0.03172653,0,1716355499999,0,60,0,0,0
1716355500000,0.03172653,0.03173365,0.03170566,0.03173365,0,1716355559999,0,60,0,0,0
1716355560000,0.03172962,0.03177236,0.03171849,0.03174030,0,1716355619999,0,60,0,0,0
1716355620000,0.03174030,0.03177523,0.03173776,0.03176720,0,1716355679999,0,60,0,0,0
1716355680000,0.03177291,0.03178005,0.03173610,0.03174611,0,1716355739999,0,60,0,0,0
1716355740000,0.03174293,0.03177237,0.03168440,0.03169310,0,1716355799999,0,60,0,0,0
1716355800000,0.03169882,0.03188086,0.03169310,0.03186949,0,1716355859999,0,60,0,0,0
1716355860000,0.03186949,0.03195206,0.03183693,0.03193399,0,1716355919999,0,60,0,0,0
